Target: http://cmess.thm/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00003:  C=200    107 L	     290 W	   3877 Ch	  "ftp"
00001:  C=200    107 L	     290 W	   3877 Ch	  "www"
00006:  C=200    107 L	     290 W	   3880 Ch	  "smtp"
00002:  C=200    107 L	     290 W	   3880 Ch	  "mail"
00005:  C=200    107 L	     290 W	   3889 Ch	  "webmail"
00004:  C=200    107 L	     290 W	   3895 Ch	  "localhost"
00009:  C=200    107 L	     290 W	   3886 Ch	  "cpanel"
00013:  C=200    107 L	     290 W	   3904 Ch	  "autodiscover"
00007:  C=200    107 L	     290 W	   3889 Ch	  "webdisk"
00021:  C=200    107 L	     290 W	   3877 Ch	  "ns3"
00035:  C=200    107 L	     290 W	   3874 Ch	  "cp"
00033:  C=200    107 L	     290 W	   3880 Ch	  "beta"
00032:  C=200    107 L	     290 W	   3883 Ch	  "mysql"
00034:  C=200    107 L	     290 W	   3889 Ch	  "support"
00031:  C=200    107 L	     290 W	   3886 Ch	  "mobile"
00030:  C=200    107 L	     290 W	   3877 Ch	  "new"
00029:  C=200    107 L	     290 W	   3877 Ch	  "old"
00028:  C=200    107 L	     290 W	   3880 Ch	  "imap"
00027:  C=200    107 L	     290 W	   3874 Ch	  "mx"
00026:  C=200    107 L	     290 W	   3877 Ch	  "vpn"
00025:  C=200    107 L	     290 W	   3883 Ch	  "mail2"
00024:  C=200    107 L	     290 W	   3883 Ch	  "admin"
00023:  C=200    107 L	     290 W	   3883 Ch	  "forum"
00020:  C=200    107 L	     290 W	   3880 Ch	  "www2"
00022:  C=200    107 L	     290 W	   3880 Ch	  "pop3"
00019:  C=200     30 L	     104 W	    934 Ch	  "dev"
00018:  C=200    107 L	     290 W	   3880 Ch	  "blog"
00017:  C=200    107 L	     290 W	   3871 Ch	  "m"
00016:  C=200    107 L	     290 W	   3880 Ch	  "test"
00015:  C=200    107 L	     290 W	   3874 Ch	  "ns"
00012:  C=200    107 L	     290 W	   3877 Ch	  "ns2"
00014:  C=200    107 L	     290 W	   3898 Ch	  "autoconfig"
00011:  C=200    107 L	     290 W	   3877 Ch	  "ns1"
00008:  C=200    107 L	     290 W	   3877 Ch	  "pop"
00010:  C=200    107 L	     290 W	   3877 Ch	  "whm"
00036:  C=200    107 L	     290 W	   3886 Ch	  "secure"
00041:  C=200    107 L	     290 W	   3880 Ch	  "dns1"
00040:  C=200    107 L	     290 W	   3877 Ch	  "ns4"
00037:  C=200    107 L	     290 W	   3880 Ch	  "shop"
00038:  C=200    107 L	     290 W	   3880 Ch	  "demo"
00039:  C=200    107 L	     290 W	   3880 Ch	  "dns2"
00042:  C=200    107 L	     290 W	   3886 Ch	  "static"
00044:  C=200    107 L	     290 W	   3877 Ch	  "web"
