Target: http://10.10.191.254/api/items?FUZZ=test
Total requests: 4702
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00001:  C=400      0 L	       1 W	     45 Ch	  ".bash_history"
00003:  C=400      0 L	       1 W	     45 Ch	  ".cache"
00009:  C=400      0 L	       1 W	     45 Ch	  ".git-rewrite"
00004:  C=400      0 L	       1 W	     45 Ch	  ".config"
00002:  C=400      0 L	       1 W	     45 Ch	  ".bashrc"
00012:  C=400      0 L	       1 W	     45 Ch	  ".git/index"
00006:  C=400      0 L	       1 W	     45 Ch	  ".cvsignore"
00007:  C=400      0 L	       1 W	     45 Ch	  ".forward"
00005:  C=400      0 L	       1 W	     45 Ch	  ".cvs"
00013:  C=400      0 L	       1 W	     45 Ch	  ".git/logs/"
00011:  C=400      0 L	       1 W	     45 Ch	  ".git/config"
00020:  C=400      0 L	       1 W	     45 Ch	  ".gitmodules"
00018:  C=400      0 L	       1 W	     45 Ch	  ".gitk"
00014:  C=400      0 L	       1 W	     45 Ch	  ".git_release"
00008:  C=400      0 L	       1 W	     45 Ch	  ".git"
00019:  C=400      0 L	       1 W	     45 Ch	  ".gitkeep"
00016:  C=400      0 L	       1 W	     45 Ch	  ".gitconfig"
00015:  C=400      0 L	       1 W	     45 Ch	  ".gitattributes"
00010:  C=400      0 L	       1 W	     45 Ch	  ".git/HEAD"
00017:  C=400      0 L	       1 W	     45 Ch	  ".gitignore"
00021:  C=400      0 L	       1 W	     45 Ch	  ".gitreview"
00024:  C=400      0 L	       1 W	     45 Ch	  ".htaccess"
00028:  C=400      0 L	       1 W	     45 Ch	  ".mysql_history"
00027:  C=400      0 L	       1 W	     45 Ch	  ".listings"
00023:  C=400      0 L	       1 W	     45 Ch	  ".hta"
00022:  C=400      0 L	       1 W	     45 Ch	  ".history"
00025:  C=400      0 L	       1 W	     45 Ch	  ".htpasswd"
00030:  C=400      0 L	       1 W	     45 Ch	  ".perf"
00026:  C=400      0 L	       1 W	     45 Ch	  ".listing"
00034:  C=400      0 L	       1 W	     45 Ch	  ".ssh"
00033:  C=400      0 L	       1 W	     45 Ch	  ".sh_history"
00038:  C=400      0 L	       1 W	     45 Ch	  ".svnignore"
00040:  C=400      0 L	       1 W	     45 Ch	  ".web"
00029:  C=400      0 L	       1 W	     45 Ch	  ".passwd"
00035:  C=400      0 L	       1 W	     45 Ch	  ".subversion"
00036:  C=400      0 L	       1 W	     45 Ch	  ".svn"
00031:  C=400      0 L	       1 W	     45 Ch	  ".profile"
00037:  C=400      0 L	       1 W	     45 Ch	  ".svn/entries"
00032:  C=400      0 L	       1 W	     45 Ch	  ".rhosts"
