===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.51.178:5003/
[+] Method:                  GET
[+] Threads:                 40
[+] Wordlist:                /usr/share/wordlists/directory_enum/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,php,txt
[+] Timeout:                 10s
===============================================================
2022/02/10 13:02:38 Starting gobuster in directory enumeration mode
===============================================================
/archives             (Status: 500) [Size: 62666]
/1                    (Status: 500) [Size: 62568]
/links                (Status: 500) [Size: 62624]
/09                   (Status: 500) [Size: 62582]
/01                   (Status: 500) [Size: 62582]
/06                   (Status: 500) [Size: 62582]
/products             (Status: 500) [Size: 62666]
/crack                (Status: 500) [Size: 62624]
/sitemap              (Status: 500) [Size: 62652]
/articles             (Status: 500) [Size: 62666]
/07                   (Status: 500) [Size: 62582]
/login                (Status: 500) [Size: 62624]
/2                    (Status: 500) [Size: 62568]
/index                (Status: 500) [Size: 62624]
/download             (Status: 500) [Size: 62666]
/news                 (Status: 500) [Size: 62610]
/logo                 (Status: 500) [Size: 62610]
/full                 (Status: 500) [Size: 62610]
/warez                (Status: 500) [Size: 62624]
/about                (Status: 200) [Size: 4949] 
/2005                 (Status: 500) [Size: 62610]
/12                   (Status: 500) [Size: 62582]
/contact              (Status: 500) [Size: 62652]
/spacer               (Status: 500) [Size: 62638]
/2006                 (Status: 500) [Size: 62610]
/images               (Status: 500) [Size: 62638]
/serial               (Status: 500) [Size: 62638]
/08                   (Status: 500) [Size: 62582]
/support              (Status: 500) [Size: 62652]
/new                  (Status: 500) [Size: 62596]
/img                  (Status: 500) [Size: 62596]
/search               (Status: 500) [Size: 53756]
/privacy              (Status: 500) [Size: 62652]
/home                 (Status: 500) [Size: 62610]
/faq                  (Status: 500) [Size: 62596]
/help                 (Status: 500) [Size: 62610]
/04                   (Status: 500) [Size: 62582]
/archive              (Status: 500) [Size: 62652]
/blog                 (Status: 500) [Size: 62610]
/02                   (Status: 500) [Size: 62582]
/register             (Status: 500) [Size: 62666]
/article              (Status: 500) [Size: 62652]
/cgi-bin              (Status: 500) [Size: 62652]
/10                   (Status: 500) [Size: 62582]
/default              (Status: 500) [Size: 62652]
/en                   (Status: 500) [Size: 62582]
/forum                (Status: 500) [Size: 62624]
/software             (Status: 500) [Size: 62666]
/downloads            (Status: 500) [Size: 62680]
/11                   (Status: 500) [Size: 62582]
/03                   (Status: 500) [Size: 62582]
/4                    (Status: 500) [Size: 62568]
/rss                  (Status: 500) [Size: 62596]
/press                (Status: 500) [Size: 62624]
/security             (Status: 500) [Size: 62666]
/13                   (Status: 500) [Size: 62582]
/services             (Status: 500) [Size: 62666]
/content              (Status: 500) [Size: 62652]
/14                   (Status: 500) [Size: 62582]
/3                    (Status: 500) [Size: 62568]
/events               (Status: 500) [Size: 62638]
/info                 (Status: 500) [Size: 62610]
/icons                (Status: 500) [Size: 62624]
/features             (Status: 500) [Size: 62666]
/2004                 (Status: 500) [Size: 62610]
/html                 (Status: 500) [Size: 62610]
/files                (Status: 500) [Size: 62624]
/21                   (Status: 500) [Size: 62582]
/resources            (Status: 500) [Size: 62680]
/15                   (Status: 500) [Size: 62582]
/templates            (Status: 500) [Size: 62680]
/6                    (Status: 500) [Size: 62568]
/misc                 (Status: 500) [Size: 62610]
/page                 (Status: 500) [Size: 62610]
/18                   (Status: 500) [Size: 62582]
/contactus            (Status: 500) [Size: 62680]
/keygen               (Status: 500) [Size: 62638]
/20                   (Status: 500) [Size: 62582]
/05                   (Status: 500) [Size: 62582]
/docs                 (Status: 500) [Size: 62610]
/category             (Status: 500) [Size: 62666]
/terms                (Status: 500) [Size: 62624]
/24                   (Status: 500) [Size: 62582]
/profile              (Status: 500) [Size: 62652]
/2007                 (Status: 500) [Size: 62610]
/16                   (Status: 500) [Size: 62582]
/17                   (Status: 500) [Size: 62582]
/26                   (Status: 500) [Size: 62582]
/legal                (Status: 500) [Size: 62624]
/30                   (Status: 500) [Size: 62582]
/28                   (Status: 500) [Size: 62582]
/xml                  (Status: 500) [Size: 62596]
/top                  (Status: 500) [Size: 62596]
/22                   (Status: 500) [Size: 62582]
/5                    (Status: 500) [Size: 62568]
/23                   (Status: 500) [Size: 62582]
/i                    (Status: 500) [Size: 62568]
/partners             (Status: 500) [Size: 62666]
/tools                (Status: 500) [Size: 62624]
/27                   (Status: 500) [Size: 62582]
/25                   (Status: 500) [Size: 62582]
/19                   (Status: 500) [Size: 62582]
/29                   (Status: 500) [Size: 62582]
/7                    (Status: 500) [Size: 62568]
/linux                (Status: 500) [Size: 62624]
/feed                 (Status: 500) [Size: 62610]
/forums               (Status: 500) [Size: 62638]
/email                (Status: 500) [Size: 62624]
/video                (Status: 500) [Size: 62624]
/books                (Status: 500) [Size: 62624]
/themes               (Status: 500) [Size: 62638]
/business             (Status: 500) [Size: 62666]
/9                    (Status: 500) [Size: 62568]
/banners              (Status: 500) [Size: 62652]
/media                (Status: 500) [Size: 62624]
/graphics             (Status: 500) [Size: 62666]
/research             (Status: 500) [Size: 62666]
/banner               (Status: 500) [Size: 62638]
/jobs                 (Status: 500) [Size: 62610]
/reviews              (Status: 500) [Size: 62652]
/main                 (Status: 500) [Size: 62610]
/0                    (Status: 500) [Size: 62568]
/projects             (Status: 500) [Size: 62666]
/user                 (Status: 500) [Size: 62610]
/8                    (Status: 500) [Size: 62568]
/feedback             (Status: 500) [Size: 62666]
/comments             (Status: 500) [Size: 62666]
/site                 (Status: 500) [Size: 62610]
/product              (Status: 500) [Size: 62652]
