Target: http://wekor.thm/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00001:  C=200      1 L	       3 W	     23 Ch	  "www"
00002:  C=200      1 L	       3 W	     23 Ch	  "mail"
00005:  C=200      1 L	       3 W	     23 Ch	  "webmail"
00006:  C=200      1 L	       3 W	     23 Ch	  "smtp"
00003:  C=200      1 L	       3 W	     23 Ch	  "ftp"
00011:  C=200      1 L	       3 W	     23 Ch	  "ns1"
00016:  C=200      1 L	       3 W	     23 Ch	  "test"
00014:  C=200      1 L	       3 W	     23 Ch	  "autoconfig"
00010:  C=200      1 L	       3 W	     23 Ch	  "whm"
00008:  C=200      1 L	       3 W	     23 Ch	  "pop"
00019:  C=200      1 L	       3 W	     23 Ch	  "dev"
00017:  C=200      1 L	       3 W	     23 Ch	  "m"
00015:  C=200      1 L	       3 W	     23 Ch	  "ns"
00018:  C=200      1 L	       3 W	     23 Ch	  "blog"
00020:  C=200      1 L	       3 W	     23 Ch	  "www2"
00004:  C=200      1 L	       3 W	     23 Ch	  "localhost"
00021:  C=200      1 L	       3 W	     23 Ch	  "ns3"
00022:  C=200      1 L	       3 W	     23 Ch	  "pop3"
00027:  C=200      1 L	       3 W	     23 Ch	  "mx"
00023:  C=200      1 L	       3 W	     23 Ch	  "forum"
00026:  C=200      1 L	       3 W	     23 Ch	  "vpn"
00025:  C=200      1 L	       3 W	     23 Ch	  "mail2"
00024:  C=200      1 L	       3 W	     23 Ch	  "admin"
00030:  C=200      1 L	       3 W	     23 Ch	  "new"
00033:  C=200      1 L	       3 W	     23 Ch	  "beta"
00028:  C=200      1 L	       3 W	     23 Ch	  "imap"
00034:  C=200      1 L	       3 W	     23 Ch	  "support"
00035:  C=200      1 L	       3 W	     23 Ch	  "cp"
00007:  C=200      1 L	       3 W	     23 Ch	  "webdisk"
00038:  C=200      1 L	       3 W	     23 Ch	  "demo"
00032:  C=200      1 L	       3 W	     23 Ch	  "mysql"
00031:  C=200      1 L	       3 W	     23 Ch	  "mobile"
00036:  C=200      1 L	       3 W	     23 Ch	  "secure"
00029:  C=200      1 L	       3 W	     23 Ch	  "old"
00041:  C=200      1 L	       3 W	     23 Ch	  "dns1"
00042:  C=200      1 L	       3 W	     23 Ch	  "static"
00045:  C=200      1 L	       3 W	     23 Ch	  "www1"
00040:  C=200      1 L	       3 W	     23 Ch	  "ns4"
00039:  C=200      1 L	       3 W	     23 Ch	  "dns2"
00043:  C=200      1 L	       3 W	     23 Ch	  "lists"
00037:  C=200      1 L	       3 W	     23 Ch	  "shop"
00048:  C=200      1 L	       3 W	     23 Ch	  "portal"
00047:  C=200      1 L	       3 W	     23 Ch	  "news"
00051:  C=200      1 L	       3 W	     23 Ch	  "api"
00044:  C=200      1 L	       3 W	     23 Ch	  "web"
00049:  C=200      1 L	       3 W	     23 Ch	  "server"
00055:  C=200      1 L	       3 W	     23 Ch	  "backup"
00046:  C=200      1 L	       3 W	     23 Ch	  "img"
00054:  C=200      1 L	       3 W	     23 Ch	  "www.blog"
00056:  C=200      1 L	       3 W	     23 Ch	  "dns"
00059:  C=200      1 L	       3 W	     23 Ch	  "www.forum"
00053:  C=200      1 L	       3 W	     23 Ch	  "images"
00052:  C=200      1 L	       3 W	     23 Ch	  "media"
00057:  C=200      1 L	       3 W	     23 Ch	  "sql"
00050:  C=200      1 L	       3 W	     23 Ch	  "wiki"
00063:  C=200      1 L	       3 W	     23 Ch	  "video"
